origintime,latitude,longitude,depth,magnitude
2014-05-09T04:10:49.300000Z,18.706,-69.118,138,3.2
2014-05-09T20:44:54.000000Z,18.819,-69.073,110,2.7
2014-05-10T01:23:25.800000Z,19.098,-69.603,100,3.4
2014-05-10T18:27:23.100000Z,18.396,-73.547,28.3,3.2
2014-05-10T20:04:36.800000Z,19.477,-69.183,85.7,2.6
2014-05-11T01:08:56.500000Z,18.4,-73.6,10.2,2.0
2014-05-11T01:36:16.900000Z,18.487,-71.488,0,1.4
2014-05-11T11:51:47.100000Z,19.374,-64.565,105,3.5
2014-05-11T19:50:14.600000Z,18.966,-66.631,33.3,2.1
2014-05-11T23:46:52.600000Z,18.179,-72.522,25.7,1.3
2014-05-12T17:00:38.500000Z,19.317,-68.491,34.5,2.5
2014-05-14T06:22:40.600000Z,19.443,-73.128,81.7,2.0
2014-05-15T09:29:33.200000Z,19.111,-71.923,47.5,1.6
2014-05-16T05:29:03.200000Z,19.203,-68.807,15.3,2.7
2014-05-16T13:00:26.600000Z,17.713,-69.197,21.5,2.6
2014-05-16T22:23:09.400000Z,17.94,-69.613,73.1,2.3
2014-05-17T03:37:28.800000Z,19.394,-71.185,21.2,1.7
2014-05-17T13:25:10.500000Z,19.692,-65.08,85,3.0
2014-05-18T17:27:32.100000Z,19.946,-71.099,45,2.6
2014-05-20T17:16:30.800000Z,18.954,-66.667,31.6,2.8
2014-05-20T21:07:08.300000Z,19.006,-69.673,90,3.9
2014-05-21T01:33:17.800000Z,19.608,-70.776,16.3,2.5
2014-05-21T01:58:45.900000Z,19.691,-70.847,19.7,3.2
2014-05-21T07:55:55.500000Z,18.685,-69.711,121,1.9
2014-05-24T12:37:26.000000Z,18.745,-67.967,45,2.4
2014-05-25T12:59:49.100000Z,18.099,-71.372,18.6,2.5
2014-05-25T21:05:10.900000Z,19.578,-70.356,33.4,2.6
2014-05-26T17:07:50.700000Z,19.366,-68.729,15.1,2.1
2014-05-27T11:41:20.100000Z,18.964,-68.183,83.1,2.6
2014-05-28T21:15:06.000000Z,18.254,-68.353,100,5.7
2014-05-29T04:05:13.500000Z,18.264,-68.352,53.6,1.8
2014-05-29T04:37:40.300000Z,18.9,-68.214,0,2.2
2014-05-29T05:16:44.400000Z,17.851,-68.327,42.5,2.5
2014-05-29T06:46:03.900000Z,18.26,-67.14,24.7,1.6
2014-05-29T07:15:44.500000Z,18.029,-68.281,80,2.3
2014-05-31T13:48:04.900000Z,18.963,-67.685,6.7,2.1
2014-06-01T23:35:36.500000Z,18.269,-71.929,5,2.2
2014-06-02T00:37:59.700000Z,19.819,-71.201,34.8,2.6
2014-06-02T01:01:17.900000Z,19.818,-71.196,20,3.9
2014-06-02T01:06:51.300000Z,20.189,-71.299,20,3.0
2014-06-02T01:35:17.400000Z,19.842,-71.199,34,2.6
2014-06-02T03:09:31.800000Z,19.822,-71.208,20,3.1
2014-06-02T04:47:03.000000Z,19.52,-69.959,27.3,2.7
2014-06-02T05:20:06.400000Z,19.97,-71.22,41.8,2.4
2014-06-02T05:36:20.700000Z,19.823,-71.197,35.4,2.4
2014-06-02T08:56:05.900000Z,19.718,-71.056,61.9,1.7
2014-06-02T09:03:36.400000Z,19.847,-71.197,37.7,2.3
2014-06-02T13:16:10.300000Z,18.71,-69.383,92.3,2.7
2014-06-03T15:29:29.500000Z,19.254,-67.141,40.5,3.4
2014-06-03T18:06:01.900000Z,18.568,-72.601,12,1.4
2014-06-03T21:49:21.300000Z,19.634,-70.77,25.5,2.6
2014-06-05T15:31:58.000000Z,18.651,-67.562,25,3.0
2014-06-05T17:48:32.000000Z,19.524,-69.932,20,2.7
2014-06-06T21:04:46.700000Z,18.41,-72.612,8.4,1.2
2014-06-07T13:26:40.900000Z,18.972,-66.793,47.4,2.5
2014-06-07T18:49:58.900000Z,19.021,-67.771,10.1,2.3
2014-06-07T20:45:19.500000Z,18.613,-66.805,109,3.2
2014-06-08T06:49:11.300000Z,18.583,-73.553,25,2.2
2014-06-08T12:39:57.300000Z,18.874,-70.4,12.3,2.5
2014-06-09T01:24:11.600000Z,19.863,-71.247,16.9,2.1
2014-06-09T03:30:07.600000Z,18.881,-70.398,13.9,1.8
2014-06-09T09:09:25.400000Z,18.594,-70.286,3.1,1.8
2014-06-10T06:28:08.200000Z,18.911,-65.215,36,2.7
2014-06-10T06:46:50.500000Z,18.866,-70.389,14.8,2.0
2014-06-11T00:59:52.800000Z,19.095,-68.167,23.3,2.3
2014-06-11T10:01:36.500000Z,18.801,-67.37,21.7,2.2
2014-06-11T13:46:29.500000Z,18.152,-69.171,71.9,2.5
2014-06-12T15:30:49.400000Z,18.96,-67.049,40.8,3.5
2014-06-13T03:50:50.000000Z,19.389,-65.74,104,3.0
2014-06-13T03:56:54.000000Z,19.157,-67.698,10.3,2.4
2014-06-13T04:04:02.800000Z,19.244,-67.698,16,2.5
2014-06-13T04:08:24.600000Z,19.259,-67.641,10.4,2.3
2014-06-13T04:13:17.300000Z,19.155,-67.694,10.1,2.4
2014-06-13T07:30:03.100000Z,19.705,-75.016,45,2.6
2014-06-13T07:38:52.100000Z,20.242,-74.655,65,3.4
2014-06-13T11:38:23.700000Z,17.785,-66.304,11.2,2.5
2014-06-14T20:49:53.500000Z,18.909,-70.38,29.9,1.8
2014-06-15T11:10:55.800000Z,17.962,-71.966,8.6,1.7
2014-06-15T20:45:14.900000Z,17.972,-68.396,16.9,2.6
2014-06-16T04:21:33.000000Z,19.886,-71.272,11.4,1.9
2014-06-17T00:18:32.700000Z,17.933,-68.283,15.8,2.4
2014-06-17T03:01:14.700000Z,18.507,-67.331,91,2.5
2014-06-17T04:56:13.400000Z,19.362,-67.864,10,2.4
2014-06-17T13:29:14.600000Z,18.326,-68.049,112,2.6
2014-06-18T01:34:55.800000Z,19.151,-67.688,10.4,2.5
2014-06-18T02:41:17.300000Z,19.149,-67.721,10.1,2.1
2014-06-18T02:46:40.300000Z,19.134,-67.696,70.6,2.2
2014-06-18T06:53:24.100000Z,19.122,-67.691,16.8,2.1
2014-06-18T08:21:38.700000Z,19.17,-67.702,27.6,2.5
2014-06-18T08:23:33.000000Z,19.065,-67.689,17.3,2.3
2014-06-18T09:11:33.300000Z,19.142,-67.693,30.7,2.6
2014-06-18T09:23:36.400000Z,19.145,-67.687,10.1,2.8
2014-06-18T09:29:03.300000Z,19.134,-67.696,30.4,2.6
2014-06-18T14:44:38.500000Z,19.13,-67.685,17.5,2.7
2014-06-19T00:23:12.400000Z,18.473,-72.738,18.2,2.6
2014-06-19T07:12:26.700000Z,19.409,-69.59,20.9,2.1
2014-06-19T08:50:11.000000Z,17.956,-69.651,20,2.7
2014-06-20T06:48:12.900000Z,18.498,-72.462,22.5,1.3
2014-06-20T15:10:05.000000Z,18.873,-70.62,68,2.4
2014-06-20T23:34:30.100000Z,19.608,-70.646,33.5,2.4
2014-06-21T17:33:47.800000Z,18.208,-68.966,140,4.1
2014-06-21T23:06:48.400000Z,18.454,-71.796,20,1.8
2014-06-22T12:59:34.700000Z,18.483,-72.772,8.1,2.2
2014-06-23T20:15:25.800000Z,18.832,-70.545,2.5,2.1
2014-06-24T00:05:31.800000Z,18.78,-73.196,31.1,2.5
2014-06-24T03:51:29.900000Z,18.703,-70.4,7,2.0
2014-06-26T06:27:41.700000Z,18.429,-67.776,97.3,2.3
2014-06-26T11:25:23.000000Z,19.266,-69.679,91.1,2.7
2014-06-27T02:20:02.100000Z,18.431,-72.923,7.1,1.4
2014-06-27T02:20:39.500000Z,18.557,-72.53,18.5,1.2
2014-06-27T07:12:01.900000Z,18.889,-70.409,16.3,2.1
2014-06-27T19:12:21.800000Z,18.526,-72.552,19.8,1.4
2014-06-28T05:29:22.700000Z,18.386,-71.241,36.1,1.7
2014-06-28T11:34:56.400000Z,18.878,-69.383,116,3.5
2014-06-28T12:47:33.300000Z,18.414,-69.565,85,2.7
2014-06-28T14:43:52.400000Z,18.826,-69.059,87,2.8
2014-06-28T16:00:09.200000Z,19.174,-69.264,49.4,2.7
