origintime,latitude,longitude,depth,magnitude
2014-02-15T04:23:50.200000Z,15.603,-69.058,53.8,0.9
2014-02-15T17:17:18.400000Z,16.159,-67.903,51.3,2.0
2014-02-17T02:18:21.300000Z,15.681,-69.284,85.3,2.8
2014-02-17T10:24:13.000000Z,15.785,-69.627,113.4,0.9
2014-02-18T11:53:38.100000Z,15.576,-68.971,15,3.3
2014-02-18T16:18:54.900000Z,18.486,-69.187,165.6,4.7
2014-02-20T03:35:12.100000Z,15.441,-68.266,15,1.1
2014-02-20T04:21:14.200000Z,15.106,-69.959,50.1,0.9
2014-02-20T14:13:18.500000Z,15.454,-68.968,77.5,1.0
2014-02-20T16:38:16.500000Z,19.623,-66.061,0.1,0.7
2014-02-20T19:07:02.300000Z,15.774,-68.914,85.8,0.8
2014-02-20T20:36:58.600000Z,17.903,-68.018,98.1,0.0
2014-02-21T02:02:18.200000Z,15.348,-69.371,52.1,0.8
2014-02-21T10:01:15.600000Z,15.406,-69.671,88.2,0.9
2014-02-21T11:43:27.500000Z,15.279,-70.321,634.5,3.1
2014-02-21T11:49:27.500000Z,15.327,-69.838,15,2.5
2014-02-21T12:11:48.600000Z,15.933,-67.203,83.5,0.8
2014-02-23T01:48:32.100000Z,15.28,-71.101,160.5,1.1
2014-02-23T03:39:05.700000Z,15.357,-68.943,420.8,5.0
2014-02-23T21:22:13.700000Z,15.768,-70.444,15,4.4
2014-02-24T08:20:51.300000Z,14.833,-68.72,15,3.6
2014-02-24T15:18:50.400000Z,15.71,-70.072,15,4.1
2014-02-24T15:18:56.700000Z,15.983,-70.039,228.9,4.3
2014-02-24T23:30:16.400000Z,15.568,-70.242,15,3.2
2014-02-25T08:24:23.500000Z,15.71,-68.917,52.1,1.6
2014-02-25T09:18:16.100000Z,15.555,-70.157,95.6,1.2
2014-02-25T21:01:15.300000Z,16.051,-67.577,80.6,1.9
2014-02-26T02:57:09.300000Z,18.368,-73.578,0,2.0
2014-02-26T04:41:09.300000Z,15.34,-69.342,50.5,1.6
2014-02-26T20:50:56.500000Z,15.673,-68.936,16.3,1.9
2014-02-26T21:57:33.400000Z,16.023,-70.182,80.7,2.0
2014-02-27T03:05:52.600000Z,15.623,-70.949,83.5,1.7
2014-02-27T06:25:12.900000Z,15.74,-68.404,80,1.8
2014-02-28T00:51:11.700000Z,15.942,-67.782,15,3.5
2014-02-28T22:38:24.300000Z,15.621,-69.884,15,3.2
2014-03-01T02:13:32.200000Z,15.611,-69.252,90.8,2.2
2014-03-02T03:54:19.600000Z,15.661,-70.235,88.2,1.8
2014-03-02T06:55:58.700000Z,15.66,-70.278,81.3,1.5
2014-03-02T18:46:11.800000Z,15.431,-69.691,51,2.8
2014-03-02T20:04:12.900000Z,17.188,-67.8,15,3.7
2014-03-03T00:24:22.500000Z,15.758,-69.447,17.1,3.4
2014-03-04T08:35:56.400000Z,15.443,-68.381,15,3.7
2014-03-04T09:32:51.300000Z,15.728,-67.27,15,4.2
2014-03-04T10:21:05.500000Z,15.224,-68.959,15,2.4
2014-03-04T20:40:28.400000Z,16.523,-71.252,348.1,3.5
2014-03-05T04:52:25.700000Z,16.902,-70.089,15,2.9
2014-03-05T08:24:06.400000Z,15.46,-69.671,51.3,4.1
2014-03-05T08:31:47.400000Z,14.778,-68.92,32.2,3.5
2014-03-05T12:08:28.500000Z,15.981,-70.55,29.3,3.6
2014-03-05T14:47:05.800000Z,15.941,-69.706,15,2.8
2014-03-06T02:00:37.900000Z,14.973,-69.235,51.9,1.5
2014-03-06T02:14:18.000000Z,15.801,-71.233,85,1.5
2014-03-06T02:25:55.000000Z,15.317,-69.477,91.9,1.7
2014-03-06T04:18:47.500000Z,15.445,-71.012,15,1.8
2014-03-06T21:56:22.000000Z,16.367,-68.117,15,5.3
2014-03-07T02:07:39.800000Z,15.451,-68.909,62.4,1.9
2014-03-07T06:16:06.900000Z,16.212,-68.128,110.1,4.6
2014-03-07T13:41:15.800000Z,17.758,-70.207,370,3.9
2014-03-08T03:50:21.400000Z,19.585,-67.753,28.9,4.4
2014-03-08T06:33:51.200000Z,15.701,-68.333,15,4.4
2014-03-08T09:35:04.000000Z,15.687,-67.95,15,3.9
2014-03-09T22:02:08.000000Z,15.736,-68.015,15,3.8
2014-03-10T04:12:24.600000Z,15.435,-67.815,52.3,2.2
2014-03-10T15:46:53.700000Z,16.332,-68.231,15,4.3
2014-03-10T17:31:11.000000Z,15.713,-68.5,15,3.0
2014-03-11T05:45:55.600000Z,15.356,-69.716,52.1,1.6
2014-03-11T07:29:34.000000Z,15.588,-71.59,91,1.4
2014-03-12T11:50:18.600000Z,15.651,-66.551,50.3,3.0
2014-03-13T06:43:46.800000Z,15.133,-69.556,51.3,1.7
2014-03-13T08:50:21.200000Z,18.628,-73.482,22.1,2.7
2014-03-13T17:41:08.500000Z,15.85,-67.818,51.4,1.8
2014-03-13T20:24:56.300000Z,15.447,-69.161,78.2,1.6
